title,description,coding
Kamala Harris Was Dukakis-ed,Kenneth Baer: “The vice president didn’t apply the most fundamental lesson from the past thirty-plus years: Answer your attacks head on.”,negative
Kamala Harris Still Raising Money,"Tara Palmeri: “There were many historic aspects of Kamala Harris’s candidacy: her gender, her race, her midsummer anointment. But perhaps most jaw-dropping was the incredible success of her fundraising machine, which amassed more than $1 billion in donations,…",positive
How Kamala Harris Plowed Through $1 Billion,Washington Examiner: “The story of how Harris pocketed record sums while failing to gain support from voters will be studied by campaigns for decades to come... The Harris campaign and its affiliated committees dropped more than $654 million on advertising fr…,negative
Tyrese Accuses Trump Supporters Of Creating False ‘Diddy Tape’ Rumors Following His Kamala Harris Endorsement,"Tyrese insists he's never appeared in any explicit videos with Sean ""Diddy"" Combs, and he's blaming Donald Trump's supporters for starting such rumors.  The post Tyrese Accuses Trump Supporters Of Creating False ‘Diddy Tape’ Rumors Following His Kamala Harris…",neutral
"Tina Knowles Defends Beyoncé After Candace Owens Claims Singer Was Paid $10M To Endorse Kamala Harris, Consistently Cantankerous Conservative Responds",Tina Knowles was quick to defend her superstar daughter Beyoncé after conservative commentator Candace Owens shared a report alleging that the Grammy-award-winner was paid a large sum to attend and endorse Vice President Kamala Harris during her massive Houst…,neutral
"Atlanta’s Kamala Harris Mural: A Symbol Of Hope, Painted Over Amid Election Defeat – But Muralist Maintains There’s More To The Story","Chileeeeeeeeee. *Sighs in deep negro spiritual* Look, we don’t even feel like mentioning what we already know. As if the election results rolling in didn’t already set off emotions on a high, of course, Atlanta found its way into the mix. Basically though, a …",positive
"Atlanta’s Kamala Harris Mural: A Symbol Of Hope, Painted Over Amid Election Defeat – But Muralist Maintains There’s More To The Story","Chileeeeeeeeee. *Sighs in deep negro spiritual* Look, we don’t even feel like mentioning what we already know. As if the election results rolling in didn’t already set off emotions on a high, of course, Atlanta found its way into the mix. Basically though, a …",positive
Nate Silver Calls Out ‘Mediocre Candidate’ Kamala Harris and ‘Unpopular’ Biden Over Trump’s Victory,"Nate Silver called Kamala Harris a ""mediocre"" and ""replacement-level"" candidate in an edition of his newsletter reflecting on the 2024 presidential election. The post Nate Silver Calls Out ‘Mediocre Candidate’ Kamala Harris and ‘Unpopular’ Biden Over Trump’s …",negative
Trump FCC Pick Threatens On Fox News To Punish CBS Over Kamala Harris Interview When He Takes Over,Brendan Carr told Fox News a big merger could be in jeopardy on the basis of Trump's complaints about a CBS News 60 Minutes interview with VP Kamala Harris. The post Trump FCC Pick Threatens On Fox News To Punish CBS Over Kamala Harris Interview When He Takes…,neutral
House Democrat Recalls Meeting Dismissive Kamala Harris: ‘She Just Walked Away from Me. There Was Kind of an Eye Roll’,"Rep. Marie Gluesenkamp Perez (D-WA) had tough words for her party and its ex-standard bearer, Vice President Kamala Harris in a new interview, The post House Democrat Recalls Meeting Dismissive Kamala Harris: ‘She Just Walked Away from Me. There Was Kind of a…",negative
‘Stirring It Up!’ CNN Anchor Stunned By Bakari Sellers Bomb — Put Kamala Harris On Supreme Court Before Trump Sworn In,CNN's John Berman was stunned by a bombshell suggestion from analyst Bakari Sellers — adding Vice President Kamala Harris to the Supreme Court. The post ‘Stirring It Up!’ CNN Anchor Stunned By Bakari Sellers Bomb — Put Kamala Harris On Supreme Court Before Tr…,neutral
Nancy Pelosi Bashes Biden for Delaying Exit from Race and Making Kamala Harris the Candidate Without a Primary,Speaker Emerita Nancy Pelosi criticized Joe Biden for delaying his exit from the 2024 presidential race and coronating Kamala Harris as his replacement. The post Nancy Pelosi Bashes Biden for Delaying Exit from Race and Making Kamala Harris the Candidate With…,neutral
Kamala Harris Campaign Surrogate Tells Fox Biden’s Endorsement Was a ‘Big F You’ to Democrats: ‘This Is a $1 Billion Disaster’,"A campaign surrogate for Kamala Harris unloaded on Democrats in a Fox News interview, calling Harris's campaign a ""$1 billion disaster."" The post Kamala Harris Campaign Surrogate Tells Fox Biden’s Endorsement Was a ‘Big F You’ to Democrats: ‘This Is a $1 Bill…",negative
‘WHOA!’ CNN Panel Floored After Fmr. Kamala Harris Spox Calls for Biden to Resign So She Can Be President Until Trump Takes Office,"Jamal Simmons, former communications director for Vice President Kamala Harris, made a bold suggestion Sunday that shocked the CNN panel discussing Donald Trump's transition to the White House. The post ‘WHOA!’ CNN Panel Floored After Fmr. Kamala Harris Spox …",neutral
How Kamala Harris - and Joe Biden - lost to Donald Trump and left Democrats in shambles (Washington Post),"Washington Post: How Kamala Harris — and Joe Biden — lost to Donald Trump and left Democrats in shambles  —  The Democratic Party now finds itself grappling with how it lost so definitively, and how it so thoroughly misunderstood the American electorate.  —  …",negative
Read Vice President Kamala Harris' Full Concession Speech (Time),"Time: Read Vice President Kamala Harris' Full Concession Speech  —  Vice President Kamala Harris formally conceded in a speech Wednesday afternoon at Howard University in Washington, D.C., where she urged her followers to continue fighting for democracy.  For…",neutral
Philly Democratic Chair Bob Brady slams Kamala Harris campaign after loss to Trump (NBC10 Philadelphia),NBC10 Philadelphia: Philly Democratic Chair Bob Brady slams Kamala Harris campaign after loss to Trump  —  Philadelphia Democratic Chair Bob Brady criticized Kamala Harris' campaign following her loss to Donald Trump in the presidential election  —  Hours aft…,negative
How Kamala Harris plowed through $1 billion (Gabe Kaminsky/Washington Examiner),"Gabe Kaminsky / Washington Examiner: How Kamala Harris plowed through $1 billion  —  In October, weeks before the 2024 election, the word was out: Vice President Kamala Harris had fundraised north of $1 billion.  The haul, the New York Times reported upon bre…",negative
Kamala Harris' campaign didn't ignore working class voters (Michael A. Cohen/MSNBC),"Michael A. Cohen / MSNBC: Kamala Harris' campaign didn't ignore working class voters  —  The Biden administration was staunchly pro-labor, subsidized Obamacare and managed to avoid a recession.  But Trump and Republicans sold resentment, and it worked.  —  Si…",positive
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors (Associated Press),"Associated Press: Kamala Harris raised $1 billion-plus in defeat.  She's still sending persistent appeals to donors  —  Kamala Harris and the Democratic Party's prodigious fundraising operation raised more than $1 billion in her loss to Donald Trump, but the …",neutral
Muh Democratcy: Former Harris Aide Calls for Biden to Resign to Make Kamala President (Ed Morrissey/HotAir),Ed Morrissey / HotAir: Muh Democratcy: Former Harris Aide Calls for Biden to Resign to Make Kamala President  —  Old and busted: Save Democracy!  New hotness: Install Democratcy!  —  Either that or former Kamala Harris comms director Jamal Simmons wants to cr…,neutral
Kamala Harris Did Listen To Working-Class Voters. They Didn't Listen To Trump. (Bill Scher/Washington Monthly),"Bill Scher / Washington Monthly: Kamala Harris Did Listen To Working-Class Voters.  They Didn't Listen To Trump.  —  Plus, the shocking New Jersey result, and the connection between the election and “The Big Lebowski” — all in the November 12, 2024 newsletter…",positive
They Turned Against Kamala Harris in Decisive Numbers. They're About to Find Out if It Was Worth It. (Aymann Ismail/Slate),"Aymann Ismail / Slate: They Turned Against Kamala Harris in Decisive Numbers.  They're About to Find Out if It Was Worth It.  —  Dearborn, Michigan, turned against Kamala Harris decisively.  Now the city is about to find out if Trump was worth it.  —  On elec…",positive
Kamala Harris Campaign Fell $20 Million in Debt in Final Week (Breitbart),"Breitbart: Kamala Harris Campaign Fell $20 Million in Debt in Final Week  —  Vice President Kamala Harris's campaign fell $20 million in debt during the final week of her campaign, according to several sources.  —  Christopher Cadelago, the California bureau …",negative
The global anti-incumbent backlash doomed Kamala Harris (Noah Berlatsky/Public Notice),"Noah Berlatsky / Public Notice: The global anti-incumbent backlash doomed Kamala Harris  —  Tragically, the beneficiary happened to be Donald Trump. …   —  Donald Trump's triumph on Tuesday night is terrifying and traumatizing.  It's natural to look for som…",positive
Kamala Harris snubbing Josh Shapiro in favor of Tim Walz for VP backfired with Jewish voters - and may have cost her Pennsylvania: exit poll (Carl Campanile/New York Post),Carl Campanile / New York Post: Kamala Harris snubbing Josh Shapiro in favor of Tim Walz for VP backfired with Jewish voters - and may have cost her Pennsylvania: exit poll  —  Vice President Kamala Harris' first major campaign decision — selecting Minnesota …,negative
Lucas: Political consultants didn’t do Kamala Harris any favors,"Kamala Harris should have run with Joe Biden, not away from him. Had she done so, the outcome of the 2024 presidential outcome might have been different. Instead, it was a wipeout.",negative
"Kamala Harris Should Run Again in 2028, Democratic Voters Say",Overall 42 percent of likely Democratic voters would back Kamala Harris to be the party's 2028 presidential nominee.,positive
Kamala Harris Supporters Abandon Starbucks Boycott After Election Defeat,"People online say that they are abandoning their boycotts of the coffee chain Starbucks, following Vice President Kamala Harris defeat in the 2024 election.",neutral
Did Kamala Harris Pay Celebrities to Endorse Her? Oprah Winfrey Speaks Out,It had been claimed online that Beyoncé was paid $10 million to endorse Kamala Harris in her 2024 campaign for presidency.,negative
The Real Reason Why Kamala Harris' Interview With Joe Rogan Was Called Off,"After Harris' defeat, some Democrats called her decision to skip Rogan's show a critical campaign misstep.",negative
Ben Shapiro: 'Nobody's Talking About' Kamala Harris 2028,Political commentator Ben Shapiro said the vice president would likely leave public life and would not run in 2028.,neutral
Could Kamala Harris Replace Sonia Sotomayor on Supreme Court?,"Democrats still have a Senate majority until January, allowing President Biden a tight window to nominate a Supreme Court judge",neutral
Bernie Sanders Reveals Why Voters Told Kamala Harris 'Screw You',Sanders praised Harris for her messaging on some issues but said the campaign fell short on economic plans for the working class.,neutral
Kamala Harris' Loss and America's Fear of Strong Women | Opinion,"Vice President Kamala Harris could not overcome the ""VP curse,"" and gender undoubtedly played a role in her defeat.",positive
Is Kamala Harris' Campaign $20M in Debt? What We Know,The official Harris campaign had received more than $1 billion up until October 16.
Knives Out for Kamala Harris as Democratic Blame Game Begins,Fingers point to Harris' choice of running mate and failure to distance herself from President Joe Biden.,negative
Why Did Kamala Harris Lose the Election? We Asked ChatGPT,Vice President Kamala Harris lost the 2024 election to former President Donald Trump. We asked ChatGPT exactly why it happened.,neutral
Kamala Harris' Stepdaughter Speaks Out About Election Loss,"Ella Emhoff, the daughter of second gentleman Doug Emhoff, shared a message on her Instagram after her stepmother's election loss.",positive
What Will Kamala Harris Do Now? Next Steps After Election Defeat,"Having lost the 2024 election, Kamala Harris has several different routes ahead of her, both within public life and without.",neutral
Bill Maher Mocks Kamala Harris' Election Loss With McDonald's Job Quip,The comedian joked that Harris called McDonald's on election night to ask for her old job back after losing to Donald Trump.,negative
CNN Exit Poll Shows Kamala Harris' One Area of Growth in Election,Harris appears to have only improved among white college-educated voters when compared to President Biden's exit polls in 2020.,negative
Former Kamala Harris Aide Urges Joe Biden to Resign Within Next 30 Days,"Jamal Simmons recommended on Sunday that Biden step down to make Harris the first woman president, ""being a transitional figure.""",positive
"Why Kamala Harris Lost Latino Voters, According To Ally Who Predicted Win","Despite Harris' effort to court Latino voters leading up to the election, she only secured 6 percentage points more of their support than Trump did.",neutral
"Kamala Harris TV Ads Aimed at Black Men 'Sucked,' Ex-Obama Adviser Says","Van Jones said that Black male voters ""were not handled properly"" by the Harris campaign.",negative
'Keep Going' Says Advocate for Women in Politics After Kamala Harris Defeat,"Erin Loos Cutraro, the founder of the charity She Should Run spoke to Newsweek about moving forward and the road ahead for women in politics.",positive
Charlamagne Tha God Reveals Why Kamala Harris Really Lost The Election,The media personality blames the disconnect from economic concerns and border issues for Harris' defeat in the presidential race.,negative
Democrat Breaks Into Tears Live on MSNBC After Kamala Harris Speech,Claire McCaskill became emotional while reacting to Vice President Harris' concession speech.,neutral
Hasan Piker on Kamala Harris Loss: 'You Can't Podcast Your Way Out of This',"""You can't actively act like things are perfectly fine when things have not been fine for Americans for quite some time,"" the leftist influencer told Newsweek.",positive
Nancy Pelosi admits that she really wanted an ‘open primary’ instead of Kamala Harris,"I don’t have a solid plan for how we’ll cover politics from here on out. Obviously, I’m a huge Democrat and the incoming Trump administration is going to drag the country into the pits of hell. I’m sure we’ll have coverage of all of that, but I simply don’t f…",negative
Kamala Harris conceded the election & addressed supporters at Howard University,This is apparently the first election since 2004 where the Republican won the popular vote. What’s so weird about that is Donald Trump will likely win the popular vote having won two-million-plus fewer votes than he won in 2020. It’s also weird that Kamala Ha…,negative
Gen Z white men swung wildly away from VP Kamala Harris,"Accusations and recriminations are already ringing out throughout the Democratic Party. How did Kamala Harris lose this demographic or that demographic, why did millions of white women still vote for Donald Trump, why did Trump make such inroads with the Lati…",negative
Cardi B to Kamala Harris: ‘This may not mean much but I am so proud of you’,"Months ago, Cardi B repeatedly said that she wasn’t endorsing anyone for president and she wasn’t getting involved in the election cycle. Her views changed very quickly when Kamala Harris became the nominee, and Cardi became much more engaged in political con…",positive
Kamala Harris didn’t offer us closure—and that’s the whole point,"Kamala Harris conceded and told her supporters to ""keep fighting"" following Donald Trump's win.",negative
"Polls: Jewish Voters Overwhelming Stuck with Kamala Harris, But What about Muslims?","The postmortem of how Vice President Kamala Harris lost to former President Donald Trump is well underway, with strategists poring over exit polling data and turnout numbers to figure out what happened.Read more...",neutral
Kamala Harris Did Listen To Working-Class Voters. They Didn’t Listen To Trump.,"One week later and the Democratic Party’s self-flagellation continues. “We don’t listen enough; we tell people what’s good for them,” scolded Senator Chris Murphy on X. “Listen to poor and rural people, men in crisis. Don’t decide for them.” “No one is listen…",positive
"Kamala Harris Advisor: Biden Should Resign, Install Her as First Female President","""It would absolve her from having to oversee the January 6th transition of her own defeat."" The post Kamala Harris Advisor: Biden Should Resign, Install Her as First Female President first appeared on Le·gal In·sur·rec·tion.",neutral
Report: Kamala Harris’ Campaign Is So Broke She Can No Longer Pay Senior Staffers,"""Internally, the apparent cash crunch is being blamed for the campaign’s decision to stop paying many senior staff as of Saturday, even those initially told they would be paid through the end of the year."" The post Report: Kamala Harris’ Campaign Is So Broke …",negative
The Rise and Fall of Kamala Harris — Legal Insurrection Podcast: Episode 15,What a night The post The Rise and Fall of Kamala Harris — Legal Insurrection Podcast: Episode 15 first appeared on Le·gal In·sur·rec·tion.,neutral
Beyoncé’s mom reacts to rumor singer was paid $10M to appear at Kamala Harris rally,The Grammy-winning songstress appeared at the vice president's Houston rally in October with Kelly Rowland.,neutral
Simone Biles tells Joe Biden to ‘stand up’ after Kamala Harris’ presidential election defeat: ‘Straighten your back’,The Olympic gold medalist encouraged the 46th president to take action in the final months of his presidency after Harris lost to Donald Trump.,neutral
Bethenny Frankel slams Kamala Harris for ‘hobnobbing with celebrities’ ahead of 2024 election: It’s ‘useless’ and a ‘flex’,"""Celebrities no longer have influence,"" the ""Real Housewives of New York City"" alum said in an Instagram video.",negative
Kamala Harris’ decisive defeat to Trump highlights gaps in Democratic strategy and appeal,"Donald Trump secured the majority of electoral votes, defeating Kamala Harris decisively in the 2024 presidential election. Despite initial polling gains, Harris lost critical swing states, with sizeable losses in Pennsylvania, Georgia, and Wisconsin. Harris’…",negative
Kamala Harris Calls Dave Ramsey Show For Advice After Blowing $1 Billion In Three Months,"U.S. — After winding up in debt from blowing through $1.2 billion in just three months, Vice President Kamala Harris called in to the Dave Ramsey Show to ask for some financial guidance.",negative
"To Pay Back $20 Million Campaign Debt, Kamala Harris Agrees To Fight Jake Paul","WILMINGTON, DE — After finding out how much money former heavyweight boxing champion Mike Tyson made from his highly publicized Netflix exhibition fight, failed presidential candidate Kamala Harris announced plans to pay back her $20 million campaign debt by …",negative
Poll shows Kamala Harris as frontrunner for California governorship,Nearly half of voters surveyed say they would likely support Harris in a crowded gubernatorial race,positive
[Removed],[Removed],
They Turned Against Kamala Harris in Decisive Numbers. They’re About to Find Out If It Was Worth It.,"The view after Trump's win in Dearborn, Michigan.",neutral
MSNBC President Has Close Ties to Al Sharpton Nonprofit That Took $500K From Kamala Harris Campaign,"MSNBC president Rashida Jones maintains especially close ties with host Al Sharpton and his activist group, raising questions about her silence on donations Sharpton’s group received from Kamala Harris’s campaign shortly before he interviewed the vice preside…",negative
WATCH: Best of Veep Thoughts With Kamala Harris (Thanks for the Memories),"Kamala Harris will not be president after running what is widely regarded as the most incompetent campaign in the history of American politics. The vice president assured she was ""gon' win,"" but she did not. She joins Hillary Clinton as the only Democrat to l…",negative
Kamala Harris Campaign Gave $500k to Al Sharpton’s Nonprofit Weeks Before Glowing Interview With Anti-Semitic MSNBC Host,"Kamala Harris’s presidential campaign donated $500,000 to Al Sharpton’s nonprofit organization just weeks before the anti-Semitic MSNBC host—who once said that ""diamond merchant"" Jews have the ""blood of innocent babies"" on their hands—conducted a friendly int…",negative
Kamala Harris and Hired Gun Marc Elias Help Bob Casey Fundraise for a Pennsylvania Senate Recount That Might Not Even Happen,"Kamala Harris, who ended her failed presidential campaign $20 million in debt, is soliciting donations to support a recount for incumbent Bob Casey against Republican Dave McCormick, the declared winner of the Pennsylvania Senate race. But rather than help Ca…",negative
"Resign, Joe Biden, and let Kamala Harris be the first female US president",Brief letters: US politics | A subtle dig | Doonesbury | Small comforts | London | Weather | Kemi Badenoch,positive
Kamala Harris Moved Right. Did It Cost Her the Election?,It certainly didn’t help.,negative
Did Kamala Harris Pay Celebrities in Her Campaign?,"A report surfaced claiming that Harris paid Oprah Winfrey $1 million during her presidential campaign, but Winfrey debunked the rumor.",negative
Can Kamala Harris Run for President Again? What’s Next for the VP,The Vice President and Democratic nominee has lost her bid for the nation’s highest office to Donald Trump. Here’s a look at whether she can run again—and if she will.,neutral
"UNREAL: After Burning Through More Than a Billion Dollars, the Kamala Harris Campaign is Now Struggling to Pay Senior Staffers","As the Gateway Pundit has reported in detail, the Kamala Harris presidential campaign raised over a billion dollars and somehow managed to end up $20 million in debt. The post UNREAL: After Burning Through More Than a Billion Dollars, the Kamala Harris Campai…",negative
Trump Demands Investigation Into Pollster Ann Selzer and The ‘Now-Discredited’ Des Moines Register Over Fake Iowa Poll Favoring Kamala Harris,President Trump has called for an investigation into pollster Ann Selzer and the ‘now-discredited’ Des Moines Register over a “fake Iowa poll” that favored Kamala Harris. The post Trump Demands Investigation Into Pollster Ann Selzer and The ‘Now-Discredited’ …,neutral
"OOF! Mural of Kamala Harris in Atlanta, Georgia Already Being Painted Over (VIDEO)","Kamala Harris is so finished that she is already being erased from memory. The post OOF! Mural of Kamala Harris in Atlanta, Georgia Already Being Painted Over (VIDEO) appeared first on The Gateway Pundit.",negative
Top Kamala Harris Adviser Deletes His X Account After Vague Post Sparks Controversy,Kamala Harris’ senior campaign advisor David Plouffe deleted his account on X after making a post appearing to suggest that President Joe Biden was the reason the vice president lost. The post Top Kamala Harris Adviser Deletes His X Account After Vague Post S…,neutral
BLAME GAME: Nancy Pelosi Says Biden’s Refusal to Drop Out Cost Kamala Harris The Election,Former Speaker of the House Nancy Pelosi has argued that “it would have been different” if Joe Biden had agreed to stand down earlier than he eventually did. The post BLAME GAME: Nancy Pelosi Says Biden’s Refusal to Drop Out Cost Kamala Harris The Election ap…,neutral
EPIC TROLL: Trump Offers to Help Democrats Pay Off Kamala Harris Campaign Debt With His Leftover Campaign Funds,The Kamala Harris campaign raised a record billion dollars for the 2024 election and somehow still ended the race with $20 million in debt. The post EPIC TROLL: Trump Offers to Help Democrats Pay Off Kamala Harris Campaign Debt With His Leftover Campaign Fund…,negative
STUNNING: The Kamala Harris Campaign Raised a Billion Dollars but is Closing Out With $20 Million in Debt,"The Kamala Harris campaign raised an eye-popping billion dollars over the summer and into the fall, but it still wasn’t enough to beat Trump. The post STUNNING: The Kamala Harris Campaign Raised a Billion Dollars but is Closing Out With $20 Million in Debt ap…",negative
“Holy Smokes! Literally Nothing?!” – Jake Tapper Shocked by Map That Shows Kamala Harris Didn’t Outperform Biden in a Single County (VIDEO),CNN’s Jake Tapper was shocked as his colleague John King showed him a map of Kamala Harris’s 2024 performance compared to Joe Biden’s so-called 2020 ‘victory.’ Donald Trump won the 2024 presidential election in a landslide and is projected to win at least 312…,negative
"Supporters of Senile, Brain-Dead Brandon and the Blabbering and Cackling Ignoramus Kamala Harris . . .",". . . are barking and snarling all over their media that NONE of Trump’s appointees are “qualified.” The post Supporters of Senile, Brain-Dead Brandon and the Blabbering and Cackling Ignoramus Kamala Harris . . . appeared first on LewRockwell.",negative
Cardi B Claps Back After Candace Owens Asks If She Was Paid to Speak at Kamala Harris Rally,"Cardi B is setting the record straight. Earlier this week, conservative commentator Candace Owens reached out to the 32-year-old “Bodak Yellow” rapper on X, formerly known as Twitter, to ask how much she was paid to speak at Vice President Kamala Harris‘ camp…",neutral
Joe Biden Reacts to Outcome of Presidential Election 2024 After VP Kamala Harris Concedes Race,Joe Biden has reacted to the outcome of the 2024 Presidential Election after Vice President Kamala Harris conceded the race to Donald Trump. Kamala issued her speech on Wednesday evening (November 6) after calling Donald to congratulate him on his win and to …,neutral
Kamala Harris’ disastrous presidential bid was doomed from the start,Even if Kamala Harris was a gifted politician and an adept speaker — and she isn't — she faced three damning realities that she could never have changed.,positive
"Biden, Kamala Harris make first public appearance together since election as stone-faced Jill looks on",Biden and Harris participated in a wreath-laying ceremony before the defeated vice president watched her boss' remarks next to an expressionless first lady.,neutral
Nicole Scherzinger seen wearing Kamala Harris shirt before supporting pro-Trump post,The singer sported a white T-shirt with the vice president's first name written in blue letters on Oct. 23.,neutral
Donald Trump beat Kamala Harris with Muslim voters over Gaza: exit poll,"LAS VEGAS — Muslims snubbed Vice President Kamala Harris on Election Day over her stance on the Israel-Hamas war in Gaza, with about 80% rejecting her at the ballot box, an exit poll reveals. Despite pre-election polling that put the veep at 41% support among…",negative
Kamala Harris interviewers received massive donations ahead of sit-downs: report,"FEC filings, first reported by the Washington Free Beacon, show the Harris campaign gave two $250,000 donations to Rev. Al Sharpton’s nonprofit organization in September and October.",negative
Oprah Winfrey denies ‘lie’ that she got $1M to endorse Kamala Harris: ‘I was not paid a dime’,"""I was not paid a dime. My time and energy was my way of supporting the campaign,"" she wrote in the comments section of the Shade Room's post.",neutral
MSNBC’s Claire McCaskill cries over Kamala Harris’ concession speech,McCaskill could be heard crying in the background while MSNBC aired Harris’s speech.,neutral
Bill Maher urges Democrats to ‘look in the mirror’ after Kamala Harris’ election loss,"Maher switched his aim toward Harris and the Democrats, telling them they must reevaluate their party and platform after their embarrassing loss.",negative
"Kamala Harris committed ‘political malpractice’ by not going on Joe Rogan podcast, Andrew Yang says","“It was also a very bad look that they didn't go on because there were some voters who were like, huh, what are they hiding?”",negative
NYC comedian does ‘spot-on’ Kamala Harris impression after election loss — and the internet loves it,New York City comedian Sienna Hubert-Ross posted a video the day after the election -- of the veep drinking wine and blubbering about her loss.,negative
Ella Emhoff seemingly loses her mind over stepmom Kamala Harris losing presidency to Trump,"Emhoff, 25, was photographed sobbing on the sidelines while Vice President Kamala Harris delivered her concession speech to Trump at Howard University on Wednesday.",negative
Kamala Harris floated to replace Supreme Court Justice Sonia Sotomayor as progressives pressure her to resign,A liberal pundit Sunday floated nominating failed presidential candidate Kamala Harris to replace US Supreme Court Justice Sonia Sotomayor while the Democrats still cling to power.,neutral
Squirrel spotted onstage before Kamala Harris’ concession speech — and internet thinks it’s the ghost of P’nut,A squirrel was spotted running across the stage just moments before Vice President Kamala gave her concession speech Wednesday -- sending social media into a spin as users quipped it was the euthanized furry internet sensation coming back to haunt her.,neutral
Nancy Pelosi calls Kamala Harris’ loss to Trump ‘heartbreaking’ – had ‘very emotional conversation’ with VP,"Pelosi, 84, made the comments to New York Times podcast host Lulu Garcia-Navarro, co-host of “The Interview,” in a yet to be released episode recorded after Election Day.",positive
Furious Dem official brands Kamala Harris’ campaign a ‘$1 billion disaster’ in foul-mouthed tirade,"""They’re $20 million or $18 million in debt. It’s incredible, and I raised millions of that. I have friends I have to be accountable to and explain what happened.""",negative
"Kamala Harris’ stepdaughter, Ella Emhoff, addresses rumors she was hospitalized for ‘mental breakdown’",The daughter of second gentleman Douglas Emhoff was seen crying during the vice president's concession speech at Howard University.,neutral
Memers guess what President Biden is really thinking during presser after Kamala Harris lost to Trump: ‘Thrilled’,"""This is the look of a guy who just watched his carjacker get t-boned by a garbage truck,"" one user mused.",negative
Donald Trump is heading back to the White House — and Kamala Harris’ own decisions are to blame,"Donald. He was voted for president three times. And a blessing on his head — mazel tov, mazel tov.",negative
Ella Emhoff insists she is not having a mental breakdown after stepmom Kamala Harris’ big election loss: ‘F–k you’,Rumors swirled she had been checked into an institution.,neutral
Kamala Harris’ niece shares smiling pic of VP at home with glass of wine after she lost election to Trump,The 60-year-old presidential candidate can be seen wearing a sweatshirt from her alma mater Howard University while playing with her niece's two daughters.,neutral
Kamala Harris’ ex-communications director says Biden should resign in wild scheme to make her first female president: ‘Turn tables on Trump’,"""It’d turn [the] tables on Trump, keep Kamala from presiding over Jan. 6 make it easier for next woman to run.""",positive
Why did white women and the Democratic base abandon Kamala Harris? My view from the campaign trail,"Some have argued Harris moved too far to the left in the campaign. Instead, she may have failed to listen to the message coming from her base.",negative
Did Kamala Harris face the double whammy of gender and race?,"Chris Rock once said electing Barack Obama was progress for White people, not Black people.  This article examines whether gender is as significant a schism in US politics as race, analyzing why Kamala Harris lost the 2020 election. It explores the double bin…",neutral
The Crass but Winning Political Tactic That Kamala Harris Missed,She didn’t offer voters what they really wanted.,negative
Oprah Winfrey Attacked For $1 Million Fee To Kamala Harris’ Campaign,"Media mogul Oprah Winfrey has denied being paid personally by the presidential campaign team for Vice President Kamala Harris, according to a report from a conservative website last week.",neutral
Plies Has Comforting Words For Fans Reeling After Kamala Harris’ Election Loss To Donald Trump,Plies told his followers to stay with the fight despite having to swallow the hard pill that we must endure four more years of Donald Trump.,positive
Vice President Kamala Harris Concedes To Donald Trump During Howard University Speech,Vice President Kamala Harris conceded to President-Elect Donald Trump during a speech held at Howard University,neutral
Overnight Cable News Ratings for Nov. 5-7: Kamala Harris’ Concession Speech Brings Viewers,"Tuesday, November 5 Fox News was the go-to network on Election Night in both total viewers and the Adults 25-54 demo. The network peaked with over 10 million viewers between 9 p.m. and 12 a.m. ET. CNN still held its own in the demo, finishing in second place,…",neutral
There Are Some Giant Holes in One Popular Explanation for Why Kamala Harris Lost,There are quite a few problems with this theory.,neutral
"Catfight: As Biden and Trump smile cordially, Jill Biden cuts Kamala Harris dead","Around the time President Trump and Joe Biden held the most cordial of presidential transition meetings at the White House, something different was going on over at a Veterans Day event between Jill Biden and Kamala Harris.    According to Fox News: ...",negative
Comparing Kamala Harris to actual U.S. presidents,"Unfortunately, with the recent defeat of Kamala Harris, we will have fewer opportunities in the future to hear her speak, to illuminate, to orate, to elevate.    As partial recompense, I hereby offer some of her wisest and wittiest utterances &hellip...",positive
Kamala Harris ends her presidential run in booming defeat… and $20 million in debt,"When you look at how badly they managed their own money, think about what they would’ve done to ours.    Kamala Harris only became the official Democrat nominee on August 6th, which was just 91 days before the election—yet in that time, s...",negative
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,"Kamala Harris and the Democratic Party’s prodigious fundraising operation raised more than $1 billion in her loss to Donald Trump, but the vice president is still pushing donors for more money after the election",negative
[Removed],[Removed],
Judge recuses himself in Arizona fake elector case after urging response to attacks on Kamala Harris,A judge recused himself from presiding over Arizona's fake electors case after an email surfaced in which he told fellow judges to speak out against attacks on Kamala Harris’ race,neutral
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,"Kamala Harris and the Democratic Party’s prodigious fundraising operation raised more than $1 billion in her loss to Donald Trump, but the vice president is still pushing donors for more money after the election",negative
Why Kamala Harris Bailed on Joe Rogan,"In the closing weeks of the 2024 presidential campaign, Vice President Kamala Harris had an opportunity to appear on the Joe Rogan Experience, the most popular podcast in the country. Ultimately, she declined the interview.  Former President Donald Trump cert…",neutral
Kamala Harris Supporters Abandon Starbucks Boycott After Election Defeat,"Kamala Harris backers on TikTok say they are abandoning their support for a boycott of Starbucks because that support was not reciprocated in the election, which the vice president lost. Since late in 2023, there has been an ongoing boycott of the coffee gian…",neutral
